Description,Price,Rating,Review_count,Url
"Amazon Basics Ergonomic Gaming Chair with Bluetooth Speakers and Built-in Mic, Push-Button Height Control - Grey",$215.24,4.3 out of 5 stars,28,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10218423IUEO2KM08TEI&url=%2FAmazon-Basics-Ergonomic-Microphone-Push-Button%2Fdp%2FB08DF13CF7%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-1-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_atf
AIMU Gaming Chairs Ergonomic Office Chair Video Game Chairs with Footrest High Back Computer Chair Headrest and Lumbar Support Reclining Racing Chair Desk Chair for Men Women (Black and Red),$164.99,3.9 out of 5 stars,26,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A071058015UJJ4UUEVGUX&url=%2FAIMU-Ergonomic-Footrest-Computer-Reclining%2Fdp%2FB09LCDQGKX%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-2-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_atf
"Atbang Gaming Chair Ergonomic Massage PC Office Chair with footrest Racing Computer Chair Reclining Game Chair for Adults Adjustable 2D Armrests 160kg Heavy Duty, Leath-Aire Fabric,Grey&Blue",$199.99,3.9 out of 5 stars,18,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0563762SOZVBZ8BLSZO&url=%2FAtbang-Ergonomic-Reclining-Adjustable-Leath-Aire%2Fdp%2FB09PYDMTS6%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-3-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_atf
"Gaming Chair - Ergonomic Office Chair Flip-up Armrest and Height Adjustable Desk Splicing PU Leather Computer Chair with Lumbar Support, Red",$105.00,4.8 out of 5 stars,16,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02142113J39BCERF7BB5&url=%2FGaming-Chair-Ergonomic-Adjustable-Splicing%2Fdp%2FB0B5G13D69%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-4-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_atf
"AutoFull Gaming Chair Racing Style Ergonomic High Back Computer Chair with Height Adjustment, Footrest，Headrest and Lumbar Support E-Sports Swivel Chair，red",$279.99,4.4 out of 5 stars,"2,152",https://www.amazon.com/AutoFull-Ergonomic-Adjustment-Footrest%EF%BC%8CHeadrest-Chair%EF%BC%8Cred/dp/B08BCP8ZSS/ref=sr_1_5?keywords=gaming+chair&qid=1658100384&sr=8-5
"RESPAWN RSP-900 Racing Style, Reclining Gaming Chair, 35.04"" - 51.18"" D x 30.71"" W x 37.01"" - 44.88"" H, Black",$280.00,4.4 out of 5 stars,"3,954",https://www.amazon.com/RESPAWN-900-Racing-Recliner-Reclining-RSP-900-BLK/dp/B07PL2LVFR/ref=sr_1_6?keywords=gaming+chair&qid=1658100384&sr=8-6
"Soontrans White Gaming Chairs with Massage,Ergonomic Gamer Chair,Racing Game Chair,PC Computer Chair with High-Back,Adjustable Headrest and Lumbar Support (Polar White)",$149.90,3.9 out of 5 stars,"2,004",https://www.amazon.com/Soontrans-Ergonomic-Computer-High-Back-Adjustable/dp/B08HN1NPGZ/ref=sr_1_7?keywords=gaming+chair&qid=1658100384&sr=8-7
"Razer Enki Gaming Chair: All-Day Gaming Comfort - Built-in Lumbar Arch - Optimized Cushion Density - Dual-Textured, Eco-Friendly Synthetic Leather - Reactive Seat Tilt & 152-Degree Recline - Green",$399.99,4.6 out of 5 stars,422,https://www.amazon.com/Razer-Enki-Gaming-Chair-Built/dp/B09CLLYMH6/ref=sr_1_8?keywords=gaming+chair&qid=1658100384&sr=8-8
"Soontrans Black Gaming Chair with Footrest, Ergonomic Gamer Chair, Home Office Chair,PC Computer Chair with Headrest and Lumbar Support(Dark Black)",$169.90,4.0 out of 5 stars,"1,664",https://www.amazon.com/SOONTRANS-Ergonomic-Computer-Retractable-Adjustable/dp/B08G19Y5MZ/ref=sr_1_9?keywords=gaming+chair&qid=1658100384&sr=8-9
"Hbada Ergonomic Office Chair High Back Desk Chair Recliner Chair with Lumbar Support Height Adjustable Seat, Headrest- Breathable Mesh Back Soft Foam Seat Cushion, White",$199.99,3.8 out of 5 stars,"5,211",https://www.amazon.com/Hbada-Ergonomic-Office-Chair-Adjustable/dp/B07P7MQ9D5/ref=sr_1_10?keywords=gaming+chair&qid=1658100384&sr=8-10
"AKRacing Core Series EX-Wide Gaming Chair with Wide Seat, High and Wide Backrest, Recliner, Swivel, Tilt, Rocker and Seat Height Adjustment Mechanisms with 5/10 warranty - Black/Red",$379.00,4.5 out of 5 stars,719,https://www.amazon.com/AKRacing-Backrest-Recliner-Adjustment-Mechanisms-pc/dp/B07B45BGLP/ref=sr_1_11?keywords=gaming+chair&qid=1658100384&sr=8-11
"X Rocker 0780401 Sigma RGB PC Chair 2.0 BT X, 24.41"" x 20.87"" x 49.8"", Black",$326.92,3.9 out of 5 stars,74,https://www.amazon.com/Rocker-Sigma-Chair-24-41-20-87/dp/B0899CFP78/ref=sr_1_13?keywords=gaming+chair&qid=1658100384&sr=8-13
"RESPAWN 110 Racing Style Gaming Chair, Reclining Ergonomic Chair with Footrest, in White (RSP-110-WHT)-Generation 1.0",$199.99,4.3 out of 5 stars,"34,198",https://www.amazon.com/RESPAWN-110-Racing-Style-Gaming-Chair/dp/B07DG559GL/ref=sr_1_14?keywords=gaming+chair&qid=1658100384&sr=8-14
"COMFTY Gaming Chair with Fold-Away Footrest, Height Adjustable Gamer Chair & Support Pillows and 2D T-Armrests Deluxe Leather Reclining Office Chair, Black/Red",$148.64,3.5 out of 5 stars,20,https://www.amazon.com/Fold-Away-Footrest-Adjustable-T-Armrests-Reclining/dp/B095Z7D6MD/ref=sr_1_15?keywords=gaming+chair&qid=1658100384&sr=8-15
"DualThunder Gaming Office Chairs, Ergonomic Office Gaming Chair Cheap, Home Office Desk Chairs with Wheels, Gaming Chairs for Adults Teens, Comfy Rolling Swivel Computer Chair, Video Game Chairs, Blue",$89.99,4.3 out of 5 stars,165,https://www.amazon.com/DualThunder-Gaming-Ergonomic-Rolling-Computer/dp/B09Q8FK61T/ref=sr_1_16?keywords=gaming+chair&qid=1658100384&sr=8-16
"Amazon Basics Kids/Youth Gaming Recliner with Headrest and Back Pillow, 3+ Age Group, Black and White",$180.35,4.6 out of 5 stars,"1,924",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A103600017R3H6MUSUI7I&url=%2FAmazonBasics-Gaming-Recliner-Headrest-Pillow%2Fdp%2FB07TD5R27D%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-17-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_mtf
SITMOD Gaming Chair with Footrest-PC Computer Ergonomic Video Game Chair-Backrest and Seat Height Adjustable Swivel Task Chair for Adults with Headrest and Lumbar Support(Black)-Fabric,$179.00,4.1 out of 5 stars,44,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02036042DIKNHFJEJB0A&url=%2FSITMOD-Footrest-PC-Ergonomic-Chair-Backrest-Adjustable%2Fdp%2FB09ZTXWJHR%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-18-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_mtf
"Soontrans Grey Gaming Chairs with Footrest,Ergonomic Computer Game Chair, Gamer Chair with Lumbar Pillow and Adjustable Headrest (Galaxy Grey)",$152.91,4.0 out of 5 stars,"1,664",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06191901J543USN618DQ&url=%2FSOONTRANS-Ergonomic-Computer-Adjustable-Retractable%2Fdp%2FB08G13JS6W%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-19-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_mtf
"AutoFull Gaming Chair Ergonomic Gamer Chair with 3D Bionic Lumbar Support Racing Style PU Leather Computer Gaming Chair with Retractable Footrest,Brown",$249.99,4.6 out of 5 stars,"2,209",https://www.amazon.com/AutoFull-Ergonomic-Support-Adjustable-Footrest%EF%BC%8CBrown/dp/B092DF433H/ref=sr_1_20?keywords=gaming+chair&qid=1658100384&sr=8-20
"Ferghana Grey Gaming Chairs with Footrest,PC Gaming Chair,Computer Chair, E-Sports Chair,Ergonomic Office Chair with Adjustable Headrest and Lumbar Support(Grey)",$164.98,4.2 out of 5 stars,"2,671",https://www.amazon.com/Chair-Gaming-Video-Retractable-Adjustable/dp/B083KCLRMW/ref=sr_1_21?keywords=gaming+chair&qid=1658100384&sr=8-21
"RESPAWN RSP-400 Big and Tall Racing Style Gaming Chair, Gray",$409.99,4.1 out of 5 stars,480,https://www.amazon.com/RESPAWN-400-Racing-Style-Gaming-Chair/dp/B07F2G1CQY/ref=sr_1_22?keywords=gaming+chair&qid=1658100384&sr=8-22
"Gaming Chair Office Chair Desk Chair with Lumbar Support Flip Up Arms Headrest Swivel Rolling Adjustable PU Leather Racing Computer Chair for Girls,Pink",$99.99,4.3 out of 5 stars,"31,610",https://www.amazon.com/Support-Headrest-Rolling-Adjustable-Computer/dp/B07T5BX1VC/ref=sr_1_23?keywords=gaming+chair&qid=1658100384&sr=8-23
KARNOX Legend Gaming Chair Ergonomic Office Desk Chair Racing PC Chair High-Back Executive Chair with Adjustable Headrest and Lumbar Support 360 Degree Swivel Recling Computer Chair Cloth Dark Grey,$289.00,4.6 out of 5 stars,666,https://www.amazon.com/KARNOX-Legend-TR-Breathable-Ergonomic-LegendTR/dp/B0827M5G7P/ref=sr_1_24?keywords=gaming+chair&qid=1658100384&sr=8-24
"SONGMICS Racing Gaming Chair, Adjustable Ergonomic Office Chair with Footrest, Tilt Mechanism, Lumbar Support, 330 lb Load, Black and Red UOBG073B01",$149.99,4.4 out of 5 stars,411,https://www.amazon.com/SONGMICS-Adjustable-Ergonomic-Footrest-Mechanism/dp/B08B3G7J2K/ref=sr_1_25?keywords=gaming+chair&qid=1658100384&sr=8-25
S*MAX Gaming Chair with Wide Seat Ergonomic Computer Gamer Chair with 4D Armrest Creamy PU Leather Headrest and Lumbar Support Racing Style High Back Video Game Chairs for Adults Black and Red,$239.99,4.3 out of 5 stars,32,https://www.amazon.com/Ergonomic-Computer-Armrest-Leather-Headrest/dp/B0925H6Y6D/ref=sr_1_26?keywords=gaming+chair&qid=1658100384&sr=8-26
"KCREAM Gaming Chair,Ergonomic Racing Office Computer Chair Adjustable Headrest and Lumbar Pillows Leather High-Back Swivel Task Chair with Footrest (8515-grey)",$229.99,4.3 out of 5 stars,300,https://www.amazon.com/KCREAM-Ergonomic-High-Back-Adjustable-Professional/dp/B08F24PXVS/ref=sr_1_28?keywords=gaming+chair&qid=1658100384&sr=8-28
"AutoFull Gaming Chair Racing Office Ergonomic High-Back Computer Chair PU Leather Desk Chair with Headrest and Lumbar Support E-Sports Swivel Chair, Cyan",$269.99,4.5 out of 5 stars,378,https://www.amazon.com/AutoFull-Ergonomic-High-Back-Computer-Headrest/dp/B08RSCQPM6/ref=sr_1_29?keywords=gaming+chair&qid=1658100384&sr=8-29
"TBQATNTS Gaming Chair with Speakers,Led Gaming Chair,Ergonomic Pro Gaming Chair with Full Massage Lumbar Support Bluetooth Speakers Backrest Adjustable/Gaming Chairs for Adults,Black",$343.98,3.0 out of 5 stars,2,https://www.amazon.com/TBQATNTS-Speakers-Ergonomic-Bluetooth-Adjustable/dp/B09LYHMMCL/ref=sr_1_30?keywords=gaming+chair&qid=1658100384&sr=8-30
SITMOD Gaming Chair with Footrest-PC Computer Ergonomic Video Game Chair-Backrest and Seat Height Adjustable Swivel Task Chair for Adults with Headrest and Lumbar Support(Grey)-Fabric,$199.00,4.1 out of 5 stars,44,https://www.amazon.com/SITMOD-Footrest-PC-Ergonomic-Chair-Backrest-Adjustable/dp/B09TPDZLR5/ref=sr_1_31?keywords=gaming+chair&qid=1658100384&sr=8-31
"Blue Whale Massage Gaming Chair with Footrest, Racing PC Computer Office Chair Swivel Ergonomic Executive Leather Desk Chair and Adjustable Armrests",$179.99,4.3 out of 5 stars,276,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0657981IKIBYOXCH9DK&url=%2FBlue-Whale-Ergonomic-Executive-Adjustable%2Fdp%2FB08Z7G252Y%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-32-spons%26psc%3D1%26smid%3DA10D09KAER4699&qualifier=1658100384&id=2058959122136027&widgetName=sp_mtf
"Dvenger Office Desk Chairs, Office Chairs Clearance, Video Game Chairs, Gaming Chairs, Computer Gaming Chair, Gaming Chairs for Teens, Adults and Gamer, Black",$99.99,4.3 out of 5 stars,518,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08167893U02P08IR4M1O&url=%2FDvenger-Office-Chairs-Clearance-Computer%2Fdp%2FB099N6MSV4%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-33-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_mtf
"VON RACER Video Game Chair with Speakers, 2.1 Audio Foldable Floor Gaming Chair, Pedestal PC Chair 2 Speakers and 4” Subwoofer",$209.99,4.0 out of 5 stars,40,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0406841AFTAMV8YKL4V&url=%2FVON-RACER-Speakers-Foldable-Subwoofer%2Fdp%2FB09MKN9PRV%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-34-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_mtf
RAPTAVIS Gaming Chair Computer Ergonomic Office Chair Backrest and Seat Height Adjustable Swivel Recliner with Lumbar Cushion Esports Mesh Chair(Blue/Mesh),$119.99,4.3 out of 5 stars,194,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A038874423G4Y8UYLRE8X&url=%2FRAPTAVIS-Computer-Ergonomic-Backrest-Adjustable%2Fdp%2FB091C67KXS%2Fref%3Dsr_1_35_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-35-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_mtf
"Ergonomic Office Chair, KERDOM Home Desk Chair, Comfy Breathable Mesh Task Chair, High Back Thick Cushion Computer Chair with Headrest and 3D Armrests, Adjustable Height Home Gaming Chair S-White",$239.99,4.2 out of 5 stars,513,https://www.amazon.com/Ergonomic-KERDOM-Breathable-Computer-Adjustable/dp/B099DSS79Z/ref=sr_1_36?keywords=gaming+chair&qid=1658100384&sr=8-36
"Comfty Reclining mesh Fabric Gaming Chair with Hinged Armrests, Black/Red",$153.52,3.7 out of 5 stars,26,https://www.amazon.com/Comfty-Chairs-CFTYGC112-Multicolor/dp/B095Z7MCMX/ref=sr_1_38?keywords=gaming+chair&qid=1658100384&sr=8-38
"X Rocker 5152301 Trident Pedestal 4.1 Wireless, 31.89"" x 25.98"" x 40.55"", Black/Gold",$239.31,4.1 out of 5 stars,786,https://www.amazon.com/Rocker-Wireless-Black-Gold-Pedestal/dp/B07JZBPRT9/ref=sr_1_39?keywords=gaming+chair&qid=1658100384&sr=8-39
Gaming Chair - Racing Office Computer Ergonomic Video Game Chair with Headrest and Lumbar Pillow,$134.00,4.4 out of 5 stars,198,https://www.amazon.com/Gaming-Chair-Computer-Ergonomic-Headrest/dp/B09S3G2R8Q/ref=sr_1_40?keywords=gaming+chair&qid=1658100384&sr=8-40
"MUZII Gaming Chair, Office Computer Chair with Headrest and Lumbar Pillow and Seat Height Adjustable, High Back Video Game Chairs for Adults Teens White",$128.99,4.5 out of 5 stars,178,https://www.amazon.com/MUZII-Gaming-Computer-Headrest-Adjustable/dp/B09YHP4TQT/ref=sr_1_41?keywords=gaming+chair&qid=1658100384&sr=8-41
"Blue Whale Massage Gaming Chair with Footrest, Racing PC Computer Office Chair Swivel Ergonomic Executive Leather Desk Chair and Adjustable Armrests",$179.99,4.3 out of 5 stars,276,https://www.amazon.com/Blue-Whale-Ergonomic-Executive-Adjustable/dp/B08XXDNH63/ref=sr_1_44?keywords=gaming+chair&qid=1658100384&sr=8-44
SMAX White Gaming Chair Ergonomic Computer Gamer Chair with Racing Grade PU Leather Headrest and Lumbar Support Racing Style High Back Video Game Chairs for Adults,$239.99,4.2 out of 5 stars,275,https://www.amazon.com/Ergonomic-Computer-Leather-Headrest-Support/dp/B0925HCNN7/ref=sr_1_45?keywords=gaming+chair&qid=1658100384&sr=8-45
shuanghu Gaming Chair Office Chair Ergonomic PC Computer Chair Reclining Racing Chair with Headrest and Lumbar Support Gaming Chair for Adults Men Women Teens Desk Chair (Black and White),$139.99,4.2 out of 5 stars,"10,298",https://www.amazon.com/Shuanghu-Ergonomic-Computer-Footrest-Reclining/dp/B08LMQVKM7/ref=sr_1_46?keywords=gaming+chair&qid=1658100384&sr=8-46
VON RACER Gaming Chair Massage with Footrest Gamer Chair Ergonomic Gaming Chair for Adults Video Game Chair with Headrest and Massage Lumbar Support Gaming Chair Adjustable Swivel (Blue),$149.99,4.3 out of 5 stars,"1,642",https://www.amazon.com/Footrest-Ergonomic-Reclining-VON-RACER/dp/B093WLFZBB/ref=sr_1_47?keywords=gaming+chair&qid=1658100384&sr=8-47
SMAX Gaming Recliner Chair Racing Style Ergonomic High Back Swivel PU Leather Gaming Chair Recliner with Adjustable Backrest and Footrest Cup Holder Side Pouch Gamer Chairs for Adults Black,$389.99,4.0 out of 5 stars,34,https://www.amazon.com/Recliner-Ergonomic-Adjustable-Backrest-Footrest/dp/B09FDK9SSN/ref=sr_1_48?keywords=gaming+chair&qid=1658100384&sr=8-48
Qulomvs Big and Tall Gaming Chair for Adults 400LBS Heavy Duty Computer Massage Video Game Chair Ergonomic PC Racing Gamer Chair Headrest and Lumbar Support (White),$232.99,4.1 out of 5 stars,812,https://www.amazon.com/Qulomvs-Massage-Ergonomic-Computer-Headrest/dp/B085RP1FHP/ref=sr_1_49?keywords=gaming+chair&qid=1658100384&sr=8-49
"Blue Whale Massage Gaming Chair with Footrest and 350LBS Metal Base,Thickened Seat Cushion,3D Adjustable Armrest, Big and Tall Ergonomic Office Computer Chair",$219.00,4.3 out of 5 stars,492,https://www.amazon.com/Blue-Whale-Thickened-Adjustable-Ergonomic/dp/B09SPZ5GWS/ref=sr_1_50?keywords=gaming+chair&qid=1658100384&sr=8-50
Amazon Basics Racing/Gaming Style Office Chair - White,$81.20,4.4 out of 5 stars,487,https://www.amazon.com/AmazonBasics-Racing-Gaming-Style-Office/dp/B0888M8SYT/ref=sr_1_51?keywords=gaming+chair&qid=1658100384&sr=8-51
"AA Products Gaming Chair High Back Ergonomic Computer Racing Chair Adjustable Gamer Chair with Footrest, Lumbar Support Swivel Chair – Blackgreen",$149.90,4.3 out of 5 stars,514,https://www.amazon.com/AA-Products-Ergonomic-Computer-Adjustable/dp/B095NXW4XQ/ref=sr_1_52?keywords=gaming+chair&qid=1658100384&sr=8-52
"KBEST Massage Gaming Chair - High Back Racing PC Computer Desk Office Chair Swivel Ergonomic Executive Leather Chair with Adjustable Back Angle, Armrests and Footrest (White)",$129.99,4.3 out of 5 stars,724,https://www.amazon.com/KBEST-Massage-Gaming-Chair-Adjustable/dp/B08QCVBR99/ref=sr_1_53?keywords=gaming+chair&qid=1658100384&sr=8-53
"AKRacing Masters Series Premium Gaming Chair with High Backrest, Recliner, Swivel, Tilt, Rocker and Seat Height Adjustment Mechanisms with 5/10 Warranty",$482.19,4.4 out of 5 stars,556,https://www.amazon.com/AKRacing-Backrest-Recliner-Adjustment-Mechanisms-pc/dp/B07B43VRGL/ref=sr_1_54?keywords=gaming+chair&qid=1658100384&sr=8-54
"X Rocker 5152401 Zeta PC Chair 2.0 BT, 25.2"" x 27.56"" x 48.43"", Black",$344.70,4.2 out of 5 stars,502,https://www.amazon.com/Rocker-5152401-Chair-27-56-48-43/dp/B0899B6FKK/ref=sr_1_55?keywords=gaming+chair&qid=1658100384&sr=8-55
Flash Furniture X30 Gaming Chair Racing Office Ergonomic Computer Chair with Fully Reclining Back and Slide-Out Footrest in Black and White LeatherSoft,$154.30,4.4 out of 5 stars,"4,471",https://www.amazon.com/Flash-Furniture-Ergonomic-Reclining-LeatherSoft/dp/B086HH8XYC/ref=sr_1_56?keywords=gaming+chair&qid=1658100384&sr=8-56
"Swivel Floor Gaming Chair for Adults Teens,360 Degree Video Game Chairs with Folding Adjustable Backrest,Lazy Sofa Lounger for TV, Reading, Playing, Grey",$92.99,4.4 out of 5 stars,161,https://www.amazon.com/Folding-Adjustable-Backrest-Lounger-Reading/dp/B094N7VX79/ref=sr_1_57?keywords=gaming+chair&qid=1658100384&sr=8-57
"X-VOLSPORT Massage Gaming Chair with Footrest Reclining High Back Computer Game Chair with Lumbar Support and Headrest, Racing Style Video Gamer Chair Red",$189.99,4.2 out of 5 stars,"2,475",https://www.amazon.com/X-VOLSPORT-Footrest-Reclining-Computer-Headrest/dp/B08NC2DFPZ/ref=sr_1_58?keywords=gaming+chair&qid=1658100384&sr=8-58
"Comfty RGB LED Reclining Black Leather High Back Racing Gaming Pillows & Remote Control Chairs, Multicolor",$222.34,5.0 out of 5 stars,2,https://www.amazon.com/Comfty-Chairs-CFTYRGB001-Multicolor/dp/B095Z6VKQB/ref=sr_1_59?keywords=gaming+chair&qid=1658100384&sr=8-59
"Amazon Basics Ergonomic Gaming Chair with Bluetooth Speakers and Built-in Mic, Push-Button Height Control - Blue",$215.24,4.0 out of 5 stars,25,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A025324537KG1LQ7E83UP&url=%2FAmazon-Basics-Ergonomic-Microphone-Push-Button%2Fdp%2FB08DDZYP5D%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-60-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_btf
"Amazon Basics Ergonomic Gaming Chair with Bluetooth Speakers and Built-in Mic, Push-Button Height Control - Grey",$215.24,4.3 out of 5 stars,28,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10218423IUEO2KM08TEI&url=%2FAmazon-Basics-Ergonomic-Microphone-Push-Button%2Fdp%2FB08DF13CF7%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103490%26sr%3D8-1-spons%26psc%3D1&qualifier=1658103490&id=3100665658336396&widgetName=sp_atf
"Soontrans Pink Gaming Chair with Footrest,Lovely Computer Game Chair,Desk Chair for Granddaughter,Sister,Girlfriend,Wife and Love with Headrest,Lumbar Support Gamer Chair (Pink)",$199.90,4.0 out of 5 stars,763,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A047112510UNJ80L14538&url=%2FSoontrans-Chair-Granddaughter-Girlfriend%25EF%25BC%258CSister-Gaming%2Fdp%2FB08JTPS2F7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103490%26sr%3D8-2-spons%26psc%3D1&qualifier=1658103490&id=3100665658336396&widgetName=sp_atf
"Atbang Gaming Chair Ergonomic Massage PC Office Chair with footrest Racing Computer Chair Reclining Game Chair for Adults Adjustable 2D Armrests 160kg Heavy Duty, Leath-Aire Fabric,Grey&Blue",$199.99,3.9 out of 5 stars,18,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0563762SOZVBZ8BLSZO&url=%2FAtbang-Ergonomic-Reclining-Adjustable-Leath-Aire%2Fdp%2FB09PYDMTS6%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103490%26sr%3D8-3-spons%26psc%3D1&qualifier=1658103490&id=3100665658336396&widgetName=sp_atf
"Gamer Chair, JOYFLY Gaming Chairs Silla Gamer Gamer Chair for Teens Ergonomic with High Back, Headrest, and Lumbar Support(Red)",$149.99,4.4 out of 5 stars,23,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A035938927YFDARRZ2FIR&url=%2FJOYFLY-Gaming-Ergonomic-Headrest-Support%2Fdp%2FB09Y7ZPLF6%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103490%26sr%3D8-4-spons%26psc%3D1&qualifier=1658103490&id=3100665658336396&widgetName=sp_atf
"DualThunder Gaming Office Chairs, Ergonomic Office Gaming Chair Cheap, Home Office Desk Chairs with Wheels, Gaming Chairs for Adults Teens, Comfy Rolling Swivel Computer Chair, Video Game Chairs, Blue",$89.99,4.3 out of 5 stars,165,https://www.amazon.com/DualThunder-Gaming-Ergonomic-Rolling-Computer/dp/B09Q8FK61T/ref=sr_1_5?keywords=Gaming+Chair&qid=1658103490&sr=8-5
"YSSOA FNGAMECHAIR01 Gaming Office High Back Computer Ergonomic Adjustable Swivel Chair with Headrest and Lumbar Support, with footrest, Red/Black",$99.99,3.9 out of 5 stars,620,https://www.amazon.com/YSSOA-Gaming-Office-Adjustable-Chair/dp/B0978NWH8P/ref=sr_1_6?keywords=Gaming+Chair&qid=1658103490&sr=8-6
"YSSOA Backrest and Seat Height Adjustable Swivel Recliner Racing Office Computer Ergonomic Video Game Chair, Red/Black",$99.99,4.0 out of 5 stars,"1,195",https://www.amazon.com/YSSOA-Gaming-Office-Adjustable-Chair/dp/B08XQNSH7B/ref=sr_1_7?keywords=Gaming+Chair&qid=1658103490&sr=8-7
"Gamer Chair Gaming Chair, JOYFLY Gaming Chairs for Adults, Ergonomic PC Chair with Lumbar Support(Black-Red)",$109.99,4.2 out of 5 stars,33,https://www.amazon.com/Gaming-JOYFLY-Ergonomic-Support-Black-Red/dp/B09TSG8N9T/ref=sr_1_8?keywords=Gaming+Chair&qid=1658103490&sr=8-8
"AutoFull Gaming Chair Ergonomic Gamer Chair with 3D Bionic Lumbar Support Racing Style PU Leather Computer Gaming Chair with Retractable Footrest,Brown",$249.99,4.6 out of 5 stars,"2,209",https://www.amazon.com/AutoFull-Ergonomic-Support-Adjustable-Footrest%EF%BC%8CBrown/dp/B092DF433H/ref=sr_1_9?keywords=Gaming+Chair&qid=1658103490&sr=8-9
